time, Quad.Est.E.Pos, Quad.Est.S.Z
1.700023,0.231459,0.215562
1.705024,0.244923,0.209891
1.710024,0.245200,0.210029
1.715024,0.245644,0.210237
1.720024,0.245952,0.210377
1.725025,0.246398,0.210587
1.730025,0.246699,0.210728
1.735025,0.247102,0.210941
1.740025,0.247378,0.211084
1.745026,0.247791,0.211299
1.750026,0.248049,0.211443
1.755026,0.248423,0.211661
1.760026,0.248670,0.211807
1.765026,0.249078,0.212027
1.770027,0.249351,0.212175
1.775027,0.249727,0.212397
1.780027,0.249994,0.212546
1.785027,0.250374,0.212771
1.790028,0.250682,0.212922
1.795028,0.251078,0.213149
1.800028,0.251293,0.213302
1.805028,0.166296,0.207771
1.810029,0.166390,0.207910
1.815029,0.166697,0.208120
1.820029,0.166855,0.208261
1.825029,0.167080,0.208474
1.830029,0.167167,0.208617
1.835030,0.167280,0.208832
1.840030,0.167347,0.208976
1.845030,0.167407,0.209193
1.850030,0.167401,0.209339
1.855031,0.167419,0.209558
1.860031,0.167468,0.209706
1.865031,0.167479,0.209928
1.870031,0.167436,0.210077
1.875032,0.167393,0.210301
1.880032,0.167218,0.210451
1.885032,0.167090,0.210678
1.890032,0.166870,0.210831
1.895033,0.166744,0.211060
1.900033,0.166614,0.211214
1.905033,0.155767,0.205809
1.910033,0.155355,0.205949
1.915033,0.155125,0.206162
1.920034,0.154964,0.206304
1.925034,0.154693,0.206519
1.930034,0.154482,0.206663
1.935034,0.154158,0.206880
1.940035,0.153942,0.207025
1.945035,0.153629,0.207244
1.950035,0.153426,0.207391
1.955035,0.153077,0.207613
1.960036,0.152795,0.207762
1.965036,0.152410,0.207986
1.970036,0.152092,0.208136
1.975036,0.151642,0.208363
1.980036,0.151120,0.208514
1.985037,0.150589,0.208743
1.990037,0.150467,0.208897
1.995037,0.149930,0.209128
2.000037,0.149317,0.209283
2.005037,0.216393,0.203991
2.010037,0.216283,0.204133
2.015036,0.215949,0.204348
2.020036,0.215686,0.204491
2.025036,0.215305,0.204708
2.030035,0.215036,0.204853
2.035035,0.214607,0.205072
2.040035,0.214324,0.205219
2.045034,0.213888,0.205440
2.050034,0.213604,0.205589
2.055033,0.213157,0.205812
2.060033,0.212836,0.205962
2.065033,0.212359,0.206189
2.070032,0.212082,0.206340
2.075032,0.211620,0.206569
2.080032,0.211364,0.206722
2.085031,0.210927,0.206953
2.090031,0.210596,0.207108
2.095031,0.210168,0.207341
2.100030,0.209935,0.207497
2.105030,0.131949,0.202307
2.110029,0.131796,0.202450
2.115029,0.131575,0.202666
2.120029,0.131492,0.202811
2.125028,0.131263,0.203030
2.130028,0.131116,0.203177
2.135028,0.130841,0.203398
2.140027,0.130648,0.203546
2.145027,0.130374,0.203769
2.150027,0.130200,0.203919
2.155026,0.129923,0.204144
2.160026,0.129746,0.204296
2.165025,0.129465,0.204524
2.170025,0.129457,0.204677
2.175025,0.129233,0.204907
2.180024,0.128912,0.205062
2.185024,0.128626,0.205294
2.190024,0.128352,0.205451
2.195023,0.128032,0.205686
2.200023,0.128100,0.205844
2.205023,0.140510,0.200744
2.210022,0.140228,0.200889
2.215022,0.140071,0.201107
2.220021,0.139990,0.201254
2.225021,0.139801,0.201474
2.230021,0.139556,0.201622
2.235020,0.139393,0.201845
